Branch_code,Vehicle_Make,Year_Manufacture,Loan_Tenure,Interest_Rate,Annual_Income,Loan_Amount
BTP,PROTON,1,60,0.0393,8,70000
TMD,PERODUA,1,108,0.0466,5,45800
NBJ,PROTON,1,60,0.0475,6,28800
KMA,TOYOTA,1,84,0.0388,5,100000
SS2,HONDA,1,60,0.0394,6,58000
TPI,HONDA,0,60,0.0393,8,80000
MAS,HONDA,1,108,0.0403,5,58900
SS2,HONDA,1,108,0.0404,8,94000
CRS,PERODUA,1,108,0.047,6,32500
MUR,PERODUA,1,108,0.0477,4,31900
KMA,HONDA,1,84,0.0393,9,109600
PCJ,HONDA,1,108,0.0406,5,60000
BTU,PERODUA,1,108,0.0485,5,35600
PCJ,MERCEDES BENZ,1,84,0.0378,8,205000
TPI,PROTON,1,84,0.0391,9,101800
TPI,HONDA,1,84,0.0396,9,66000
PCJ,NISSAN,1,108,0.0387,9,133200
TMP,PROTON,1,108,0.0483,5,32000
MUR,PERODUA,1,108,0.0467,5,50000
BTP,PERODUA,1,60,0.0456,8,32700
KC1,PERODUA,1,108,0.0419,5,73600
IIS,PERODUA,1,84,0.049,5,22500
PKG,PROTON,1,108,0.0495,4,29400
BNT,TOYOTA,1,84,0.039,10,50000
TPI,HONDA,1,108,0.0402,7,66000
TMD,LEXUS,0,108,0.0392,9,301000
MLK,NISSAN,1,84,0.039,5,118900
KMA,HONDA,1,60,0.0407,9,40000
PCJ,PERODUA,1,60,0.042,9,56000
BDR,PERODUA,1,108,0.05,4,29000
BCM,HONDA,1,108,0.0401,10,70000
SRE,PERODUA,1,60,0.040999999999999995,6,61200
STP,PERODUA,1,60,0.0462,5,28900
MUR,TOYOTA,0,60,0.039,6,70000
STW,TOYOTA,1,60,0.0392,6,50000
SPT,NISSAN,1,60,0.0396,7,70000
KLA,TOYOTA,1,108,0.0404,6,90000
BBM,PROTON,1,108,0.0503,5,36700
SRB,PERODUA,1,108,0.0474,6,31900
TME,TOYOTA,1,36,0.0416,9,50000
KLG,PERODUA,1,108,0.0485,5,50200
BTP,PROTON,1,108,0.0471,5,41000
TPI,PERODUA,1,108,0.046,5,44300
KLA,HONDA,1,108,0.0397,10,50000
MUR,NISSAN,0,108,0.0401,6,132900
SRB,PROTON,1,84,0.0465,5,28900
SRE,PERODUA,1,84,0.0473,3,39000
TPI,PERODUA,1,60,0.0472,7,39000
BTP,PERODUA,1,84,0.0478,5,30000
KIP,MAZDA,1,84,0.0392,9,120000
LKT,TOYOTA,1,84,0.0409,10,40000
JLG,HONDA,1,60,0.039,5,50000
KTN,PERODUA,1,84,0.0459,3,34000
SBJ,VOLVO,1,84,0.0389,6,200000
KLA,HONDA,1,54,0.0398,9,60000
BTP,PROTON,1,108,0.0495,5,37700
IIS,PERODUA,1,108,0.0472,4,30600
MJL,PERODUA,1,108,0.0459,5,41580
BKI,PERODUA,1,108,0.048,7,47600
KMT,PERODUA,1,108,0.0488,4,46700
KMN,KIA,1,108,0.0398,9,155000
BKI,MITSUBISHI,1,108,0.0392,5,101000
BHU,PROTON,1,108,0.048,4,34900
KTN,PROTON,1,84,0.0468,5,64400
JKU,HONDA,1,108,0.0409,10,75000
IIS,PERODUA,1,108,0.051,5,22000
KTA,PROTON,0,108,0.049,5,34500
SS2,MAZDA,0,108,0.0406,6,106000
KLU,PERODUA,1,84,0.0474,10,37200
RHP,HONDA,1,84,0.0388,7,110000
SMB,HONDA,1,84,0.0395,8,72000
TPI,PROTON,1,108,0.0492,3,36500
TPI,PERODUA,1,108,0.0498,5,24000
TPI,PERODUA,1,108,0.0487,6,46700
TPI,HYUNDAI,1,108,0.0398,6,135000
SEG,PROTON,1,108,0.0481,4,34600
SWY,PERODUA,1,108,0.0487,4,34900
MLK,MITSUBISHI,1,72,0.0382,7,125700
SNG,TOYOTA,1,60,0.04,7,50000
TPI,TOYOTA,1,108,0.0397,9,180600
BTU,PERODUA,1,84,0.0413,6,71800
KUI,PERODUA,1,108,0.0461,5,40400
BDR,PERODUA,1,108,0.047,9,30000
BKI,PERODUA,1,108,0.0486,5,46900
JLG,MAZDA,0,60,0.0387,8,133000
BBB,MERCEDES BENZ,1,108,0.0387,9,247000
PCJ,HONDA,1,108,0.0399,5,65000
TPI,HONDA,1,108,0.0403,5,74300
PNT,TOYOTA,1,108,0.0392,7,75000
TPI,PERODUA,1,60,0.0497,9,20000
SPM,TOYOTA,1,108,0.0392,5,71000
SRB,ISUZU,1,36,0.0406,5,50000
TPI,HONDA,1,108,0.0401,5,73700
YPG,PROTON,1,36,0.0419,5,50000
IIS,PERODUA,1,108,0.049,7,30000
TMD,PERODUA,0,108,0.0475,5,43000
SRB,TOYOTA,1,60,0.0392,10,89000
SRB,HYUNDAI,1,108,0.0392,9,142000
RHP,PERODUA,1,108,0.0487,5,46100
PBT,TOYOTA,0,84,0.04,5,85000
IIS,MAZDA,1,108,0.0398,5,134000
TMD,HONDA,1,108,0.0393,5,66800
RHP,KIA,1,108,0.0401,4,91500
BNT,TOYOTA,1,24,0.0453,9,40000
