iter	Passed	Remaining
0	254	254738
1	521	260268
2	780	259424
3	900	224198
4	939	186934
5	1170	193937
6	1441	204526
7	1649	204490
8	1808	199160
9	1901	188202
10	2060	185274
11	2072	170658
12	2085	158319
13	2227	156863
14	2401	157725
15	2443	150302
16	2509	145093
17	2662	145269
18	2674	138105
19	2905	142379
20	3051	142239
21	3204	142449
22	3281	139396
23	3321	135087
24	3473	135456
25	3625	135806
26	3819	137647
27	3959	137456
28	4246	142190
29	4512	145889
30	4597	143720
31	4764	144136
32	4838	141797
33	4884	138766
34	4995	137739
35	5119	137086
36	5217	135808
37	5386	136358
38	5577	137432
39	5656	135764
40	5775	135087
41	5787	132010
42	5800	129098
43	5812	126287
44	5823	123590
45	5834	121004
46	5856	118755
47	5876	116554
48	5889	114301
49	5900	112108
50	5913	110033
51	5932	108145
52	5946	106256
53	5958	104381
54	5979	102742
55	5997	101098
56	6009	99427
57	6021	97797
58	6035	96253
59	6046	94728
60	6056	93237
61	6078	91959
62	6089	90564
63	6100	89221
64	6114	87961
65	6133	86804
66	6160	85782
67	6183	84744
68	6203	83703
69	6220	82641
70	6231	81531
71	6243	80469
72	6262	79523
73	6280	78593
74	6300	77702
75	6316	76797
76	6336	75952
77	6347	75033
78	6358	74129
79	6369	73248
80	6385	72448
81	6405	71715
82	6425	70988
83	6443	70261
84	6458	69523
85	6469	68756
86	6479	68002
87	6491	67272
88	6502	66560
89	6519	65921
90	6539	65322
91	6554	64690
92	6570	64081
93	6592	63538
94	6608	62951
95	6624	62377
96	6634	61765
97	6646	61171
98	6659	60607
99	6671	60047
100	6682	59482
101	6702	59009
102	6718	58507
103	6729	57979
104	6743	57481
105	6759	57009
106	6775	56546
107	6787	56063
108	6808	55655
109	6821	55190
110	6835	54742
111	6851	54322
112	6866	53895
113	6882	53489
114	6893	53048
115	6904	52617
116	6915	52192
117	6927	51778
118	6939	51373
119	6953	50993
120	6968	50619
121	6981	50242
122	6991	49852
123	7003	49476
124	7013	49097
125	7025	48732
126	7039	48387
127	7053	48050
128	7074	47763
129	7093	47468
130	7112	47183
131	7124	46850
132	7139	46543
133	7153	46227
134	7168	45932
135	7183	45639
136	7194	45318
137	7204	45003
138	7215	44694
139	7232	44425
140	7248	44157
141	7258	43858
142	7272	43586
143	7286	43316
144	7297	43028
145	7307	42744
146	7322	42488
147	7337	42239
148	7354	42006
149	7374	41787
150	7387	41534
151	7397	41272
152	7408	41014
153	7423	40780
154	7445	40590
155	7459	40357
156	7470	40109
157	7481	39869
158	7494	39641
159	7505	39403
160	7521	39197
161	7540	39008
162	7557	38805
163	7567	38577
164	7578	38351
165	7589	38128
166	7600	37910
167	7611	37694
168	7622	37480
169	7639	37300
170	7650	37090
171	7661	36883
172	7672	36677
173	7683	36473
174	7696	36284
175	7713	36112
176	7725	35919
177	7736	35726
178	7758	35582
179	7770	35401
180	7781	35211
181	7793	35026
182	7804	34842
183	7815	34657
184	7830	34496
185	7847	34344
186	7858	34167
187	7869	33990
188	7885	33836
189	7901	33683
190	7917	33537
191	7928	33367
192	7942	33208
193	7954	33049
194	7966	32886
195	7976	32721
196	7987	32559
197	8006	32431
198	8021	32289
199	8035	32143
200	8056	32027
201	8077	31909
202	8096	31787
203	8118	31676
204	8130	31529
205	8146	31399
206	8158	31254
207	8170	31112
208	8188	30990
209	8207	30876
210	8228	30770
211	8250	30668
212	8262	30529
213	8284	30427
214	8295	30286
215	8307	30152
216	8324	30038
217	8335	29901
218	8347	29768
219	8359	29639
220	8379	29538
221	8391	29407
222	8403	29280
223	8415	29154
224	8433	29050
225	8451	28943
226	8463	28818
227	8474	28695
228	8486	28571
229	8510	28491
230	8530	28396
231	8541	28276
232	8565	28196
233	8576	28076
234	8591	27967
235	8612	27879
236	8622	27759
237	8633	27642
238	8650	27543
239	8670	27457
240	8692	27374
241	8716	27301
242	8737	27219
243	8764	27156
244	8803	27128
245	8823	27045
246	8842	26957
247	8870	26897
248	8881	26788
249	8894	26682
250	8910	26588
251	8923	26487
252	8934	26379
253	8945	26272
254	8957	26168
255	8975	26085
256	8996	26008
257	9059	26054
258	9131	26126
259	9153	26052
260	9172	25972
261	9188	25882
262	9203	25791
263	9221	25707
264	9235	25616
265	9255	25540
266	9266	25439
267	9277	25338
268	9308	25295
269	9331	25228
270	9351	25156
271	9366	25070
272	9385	24994
273	9398	24902
274	9413	24817
275	9428	24733
276	9445	24653
277	9459	24567
278	9482	24505
279	9495	24418
280	9518	24354
281	9538	24287
282	9552	24200
283	9575	24140
284	9600	24086
285	9612	23996
286	9623	23908
287	9655	23870
288	9676	23806
289	9698	23744
290	9732	23712
291	9754	23652
292	9780	23599
293	9798	23530
294	9847	23534
295	9867	23469
296	9890	23410
297	9918	23366
298	9939	23302
299	9951	23220
300	9962	23135
301	9975	23055
302	10021	23053
303	10041	22990
304	10065	22936
305	10085	22874
306	10106	22812
307	10138	22779
308	10149	22696
309	10189	22680
310	10206	22612
311	10217	22531
312	10228	22449
313	10276	22451
314	10289	22374
315	10305	22307
316	10325	22248
317	10343	22183
318	10354	22104
319	10365	22026
320	10379	21956
321	10430	21961
322	10443	21889
323	10459	21823
324	10486	21780
325	10500	21710
326	10513	21638
327	10537	21589
328	10555	21528
329	10570	21461
330	10586	21396
331	10599	21326
332	10612	21257
333	10653	21242
334	10668	21178
335	10688	21122
336	10705	21061
337	10723	21002
338	10736	20935
339	10748	20864
340	10759	20793
341	10781	20744
342	10799	20686
343	10824	20641
344	10844	20589
345	10873	20553
346	10895	20503
347	10916	20452
348	10962	20448
349	10972	20378
350	10983	20308
351	10999	20249
352	11016	20191
353	11046	20158
354	11065	20105
355	11088	20059
356	11138	20061
357	11172	20035
358	11196	19991
359	11221	19948
360	11247	19909
361	11259	19843
362	11270	19777
363	11288	19723
364	11309	19675
365	11325	19617
366	11340	19559
367	11364	19516
368	11384	19468
369	11407	19423
370	11429	19378
371	11460	19347
372	11482	19301
373	11500	19249
374	11526	19211
375	11543	19157
376	11564	19110
377	11581	19057
378	11604	19013
379	11626	18969
380	11640	18912
381	11664	18870
382	11686	18826
383	11707	18781
384	11729	18736
385	11742	18678
386	11755	18620
387	11771	18567
388	11792	18522
389	11817	18483
390	11840	18442
391	11862	18399
392	11885	18357
393	11898	18300
394	11910	18242
395	11932	18200
396	11953	18156
397	11965	18099
398	11977	18041
399	12004	18006
400	12029	17968
401	12051	17927
402	12074	17887
403	12098	17848
404	12123	17811
405	12147	17772
406	12169	17731
407	12184	17679
408	12204	17635
409	12229	17598
410	12252	17559
411	12264	17503
412	12275	17447
413	12286	17391
414	12298	17336
415	12309	17280
416	12320	17225
417	12332	17170
418	12343	17115
419	12354	17060
